Created-At,From-User-Id,Text,Id
2023-01-25,1052105541118451712,"@DKIJakarta @RadioElshinta @Zaindamai @Humas_DKI @TMCPoldaMetro @PDPASARJAYA Halo Pak... 
skrg mau memberlakukan jalan berbayar?ini kya lgi meres rakyat ya klo mau jakarta aga lancar kn bisa cara lain.
misal, pns yg dinas di jkt tdk boleh bawa kendaraan pribadi.

pns di dki kn puluhan ribu, dan 80 persen bawa kndaraan sndri,
gmn ga macet",1618276299201732610
2023-01-25,2845845872,@TMCPoldaMetro Semoga dapat segera tertangani oleh team dokter agak adik ini segera sembuh...,1618275400295280643
2023-01-25,168422741,"RT @TMCPoldaMetro: Apabila mengantuk beristirahatlah segera, jangan paksakan berkendara. Keselamatan ANDA adalah yang UTAMA.
https://t.co/h…",1618274178574209024
2023-01-25,1267881836249640960,@prokiz222 @Chrlfebsyh @DivHumas_Polri @LaporPenipuan @ExposePenipu @CCICPolri @TMCPoldaMetro Di blokir wkwkwk https://t.co/vK1L0uJ391,1618274094822359040
2023-01-25,175431846,"RT @karman_mustamin: Aneh ya? Ini era digital. Kenapa harus kirim surat pakai pos? Kenapa nggak pakai WA aja? Nggak punya nomornya? Ya, wak…",1618272373886824456
2023-01-25,1052105541118451712,"@TMCPoldaMetro @DishubDKI_JKT Halo Pak... 
skrg mau memberlakukan jalan berbayar?ini kya lgi meres rakyat ya klo mau jakarta aga lancar kn bisa cara lain.
misal, pns yg dinas di jkt tdk boleh bawa kendaraan pribadi.

pns di dki kn puluhan ribu, dan 80 persen bawa kndaraan sndri,
gmn ga macet",1618272362738388995
2023-01-25,71503602,"Dapet kiriman di group wa momy2, aksi begal bawa sajam di daerah Danau Sunter. Makin berani begal jaman sekarang gak perduli dengan keramaian. @TMCPoldaMetro https://t.co/8jYDWwHvs2",1618272084286902272
2023-01-25,1566677097245880325,@cokjuancokk @convomf @TMCPoldaMetro @rsjprovjabar akun rsj,1618268763434127360
2023-01-25,714428586455748608,"25 Januari 2023 Motor Geber & siap geber Jam 2002 
Portal Pesona Kalisari
#motorgeber #knalpotbising
@TMCPoldaMetro 
@NTMCLantasPolri 
 https://t.co/ANvkGHiaKG via @YouTube",1618268099429699586
2023-01-25,1566677097245880325,@cokjuancokk @convomf @TMCPoldaMetro @rsjprovjabar tangkap om,1618268083948523520
2023-01-25,977030529798217728,Menakutkan kalau semua polisi seperti oknum2 dalam vidio ini salam hormat pak @ListyoSigitP @TMCPoldaMetro https://t.co/UAT8TiiYqO,1618267963731374081
2023-01-25,1558834783098060801,"@cabgyol @convomf @TMCPoldaMetro stresss,otw rsj",1618267817643761664
2023-01-25,1566677097245880325,@cokjuancokk @convomf @TMCPoldaMetro tangkap pak,1618267532011655176
2023-01-25,1186828220,"@rezaperkusi @kangyanamulyana @TMCPoldaMetro ini yg di sebut aman....??
bukan banyakin sisi tv tp banyakin pengamanan, lebih baik mencegah @ridwankamil",1618265652590149633
